url,status,path,bytes,content_type,sha256,extension,line_count,avg_line_bytes,is_minified_or_single_line,has_webpack_runtime_marker,has_source_map_comment,source_map_comment_count,real_source_map_refs,embedded_source_map_refs
https://iclass.tku.edu.tw/static/10035.8c0d0988.js,200,raw/iclass.tku.edu.tw/static/10035.8c0d0988.js,10454,application/javascript,2bc611ce1afa6cd6992c03a8fac3f13ec179cb796816438ba44d7a6c7ebfb334,.js,1,10454.0,True,True,False,0,,0
https://iclass.tku.edu.tw/static/10067.39ff48db.js,200,raw/iclass.tku.edu.tw/static/10067.39ff48db.js,49724,application/javascript,df5a75a6ba6e0562951b043154b891478a6ff09a2f6170de9d80be21acae1441,.js,1,49724.0,True,True,False,0,,0
https://iclass.tku.edu.tw/static/1014.fa0d2a58.js,200,raw/iclass.tku.edu.tw/static/1014.fa0d2a58.js,18820,application/javascript,e3fc3a310a3734066e2584ea003b869b944fa9cf1430fa98fef4422abaea751e,.js,1,18820.0,True,True,False,0,,0
https://iclass.tku.edu.tw/static/10188.a4d7bd73.js,200,raw/iclass.tku.edu.tw/static/10188.a4d7bd73.js,120233,application/javascript,aad1c96fa93e30e30c99d7f83f9ec67d49c9ae7cc1bc3ac1503ed48795dbc53f,.js,1,120233.0,True,True,False,0,,0
https://iclass.tku.edu.tw/static/10242.1acb04a8.js,200,raw/iclass.tku.edu.tw/static/10242.1acb04a8.js,15310,application/javascript,06747b5162a0cff7fbc3a29839a5813183f77cdaf9d82499f8dbaf1a90469eb6,.js,1,15310.0,True,True,False,0,,0
https://iclass.tku.edu.tw/static/10246-494b2baa.js,200,raw/iclass.tku.edu.tw/static/10246-494b2baa.js,44823,application/javascript,378bd5d522edf024a82d682627f3869b4a50df7154ba5608aa9a0a77593bfad7,.js,1,44823.0,True,True,False,0,,0
https://iclass.tku.edu.tw/static/10248-98bfa44a.chunk.css,200,raw/iclass.tku.edu.tw/static/10248-98bfa44a.chunk.css,245,text/css,58e5274e74ee5dbb42bfc5c4b55deaf50ded23296673ba2a53e111972bdf0407,.css,1,245.0,True,False,False,0,,0
https://iclass.tku.edu.tw/static/10248.e193e757.js,200,raw/iclass.tku.edu.tw/static/10248.e193e757.js,16560,application/javascript,bb871027c289d94e86bdaee44763de8bebc765018cbe94b1a9cdf147911f6100,.js,1,16560.0,True,True,False,0,,0
https://iclass.tku.edu.tw/static/10257.5f75a4b2.js,200,raw/iclass.tku.edu.tw/static/10257.5f75a4b2.js,30486,application/javascript,985afd6cf1676830b3c46f07b4b4faf86b80d789038d610a8399de968ae7465d,.js,1,30486.0,True,True,False,0,,0
https://iclass.tku.edu.tw/static/10309.2e240c82.js,200,raw/iclass.tku.edu.tw/static/10309.2e240c82.js,1860,application/javascript,ad87147903d899d6b85ee73c751d5ff691dac332e127cf5dc23711ed9d904489,.js,1,1860.0,True,True,False,0,,0
