url,status,path,bytes,content_type,sha256
https://iclass.tku.edu.tw/api/questionnaire/,404,raw/iclass.tku.edu.tw/api/questionnaire/index.json,45,application/json,60b6b8c04b6d0fbad792e7395ee7f60dfc0718807869aa7d1fd5131c0d273e2c
https://iclass.tku.edu.tw/api/questionnaires/,404,raw/iclass.tku.edu.tw/api/questionnaires/index.json,45,application/json,60b6b8c04b6d0fbad792e7395ee7f60dfc0718807869aa7d1fd5131c0d273e2c
https://iclass.tku.edu.tw/api/replies/,404,raw/iclass.tku.edu.tw/api/replies/index.json,45,application/json,60b6b8c04b6d0fbad792e7395ee7f60dfc0718807869aa7d1fd5131c0d273e2c
https://iclass.tku.edu.tw/api/resource-file,500,raw/iclass.tku.edu.tw/api/resource-file.html,1085,text/html; charset=utf-8,df092986fca53fffb12e6116f06e8a2e902b0f81153bd0abac7a6cc2a982e615
https://iclass.tku.edu.tw/api/resource-file/,404,raw/iclass.tku.edu.tw/api/resource-file/index.json,45,application/json,60b6b8c04b6d0fbad792e7395ee7f60dfc0718807869aa7d1fd5131c0d273e2c
https://iclass.tku.edu.tw/api/resource-file/batch-delete,500,raw/iclass.tku.edu.tw/api/resource-file/batch-delete.html,1085,text/html; charset=utf-8,df092986fca53fffb12e6116f06e8a2e902b0f81153bd0abac7a6cc2a982e615
https://iclass.tku.edu.tw/api/resource-file/org/arrears/,404,raw/iclass.tku.edu.tw/api/resource-file/org/arrears/index.json,45,application/json,60b6b8c04b6d0fbad792e7395ee7f60dfc0718807869aa7d1fd5131c0d273e2c
https://iclass.tku.edu.tw/api/resource-group,500,raw/iclass.tku.edu.tw/api/resource-group.html,1085,text/html; charset=utf-8,df092986fca53fffb12e6116f06e8a2e902b0f81153bd0abac7a6cc2a982e615
https://iclass.tku.edu.tw/api/resource-group/,404,raw/iclass.tku.edu.tw/api/resource-group/index.json,45,application/json,60b6b8c04b6d0fbad792e7395ee7f60dfc0718807869aa7d1fd5131c0d273e2c
https://iclass.tku.edu.tw/api/resource-groups,200,raw/iclass.tku.edu.tw/api/resource-groups.json,23,application/json,b9eed909d4d553b5e63c40ad4aaf0d82947958edd04029a1636a8f61ebad466a
https://iclass.tku.edu.tw/api/resource-groups/,404,raw/iclass.tku.edu.tw/api/resource-groups/index.json,45,application/json,60b6b8c04b6d0fbad792e7395ee7f60dfc0718807869aa7d1fd5131c0d273e2c
https://iclass.tku.edu.tw/api/resource-groups/folders,404,raw/iclass.tku.edu.tw/api/resource-groups/folders.json,45,application/json,60b6b8c04b6d0fbad792e7395ee7f60dfc0718807869aa7d1fd5131c0d273e2c
https://iclass.tku.edu.tw/api/resource-groups/resources,404,raw/iclass.tku.edu.tw/api/resource-groups/resources.json,45,application/json,60b6b8c04b6d0fbad792e7395ee7f60dfc0718807869aa7d1fd5131c0d273e2c
https://iclass.tku.edu.tw/api/resource-groups?fields=,200,raw/iclass.tku.edu.tw/api/resource-groups__q_b2d7469233.json,23,application/json,b9eed909d4d553b5e63c40ad4aaf0d82947958edd04029a1636a8f61ebad466a
https://iclass.tku.edu.tw/api/resource-groups?page=,200,raw/iclass.tku.edu.tw/api/resource-groups__q_ee1eaef797.json,23,application/json,b9eed909d4d553b5e63c40ad4aaf0d82947958edd04029a1636a8f61ebad466a
https://iclass.tku.edu.tw/api/resource/folders,200,raw/iclass.tku.edu.tw/api/resource/folders.json,15,application/json,df9b8c697bba3fbab9df74424d79d75b0abc36722c9574be1b124cab8fde62d4
https://iclass.tku.edu.tw/api/resources/,404,raw/iclass.tku.edu.tw/api/resources/index.json,45,application/json,60b6b8c04b6d0fbad792e7395ee7f60dfc0718807869aa7d1fd5131c0d273e2c
"https://iclass.tku.edu.tw/api/reviewed-courses?all=true&fields=id,name,course_code",500,raw/iclass.tku.edu.tw/api/reviewed-courses__q_f05d198d04.html,1085,text/html; charset=utf-8,df092986fca53fffb12e6116f06e8a2e902b0f81153bd0abac7a6cc2a982e615
https://iclass.tku.edu.tw/api/reviewed-courses?page=,500,raw/iclass.tku.edu.tw/api/reviewed-courses__q_ee1eaef797.html,1085,text/html; charset=utf-8,df092986fca53fffb12e6116f06e8a2e902b0f81153bd0abac7a6cc2a982e615
https://iclass.tku.edu.tw/api/room-locations,200,raw/iclass.tku.edu.tw/api/room-locations.json,13,application/json,8572712d6be698ea5abdd95c47a05f079c21671f3dd8c8a9b5c2cc2c35e16db2
https://iclass.tku.edu.tw/api/rubric/,404,raw/iclass.tku.edu.tw/api/rubric/index.json,45,application/json,60b6b8c04b6d0fbad792e7395ee7f60dfc0718807869aa7d1fd5131c0d273e2c
https://iclass.tku.edu.tw/api/rubrics,200,raw/iclass.tku.edu.tw/api/rubrics.json,15,application/json,f1a6ece3c89a08a1f658133d1806350512f69b3bf27f2347c6d4edf21d5bd913
