runtime_source,asset_url,asset_type,present_200,local_path,status
raw/iclass.tku.edu.tw/static/runtime~js/lms-main-d01aa8bf.js,https://iclass.tku.edu.tw/static/11903.fdf6e5ec.js,.js,True,raw/iclass.tku.edu.tw/static/11903.fdf6e5ec.js,200
raw/iclass.tku.edu.tw/static/runtime~js/lms-main-d01aa8bf.js,https://iclass.tku.edu.tw/static/120-2ca4a78b.chunk.css,.css,True,raw/iclass.tku.edu.tw/static/120-2ca4a78b.chunk.css,200
raw/iclass.tku.edu.tw/static/runtime~js/lms-main-d01aa8bf.js,https://iclass.tku.edu.tw/static/120.e0d9ff72.js,.js,True,raw/iclass.tku.edu.tw/static/120.e0d9ff72.js,200
raw/iclass.tku.edu.tw/static/runtime~js/lms-main-d01aa8bf.js,https://iclass.tku.edu.tw/static/12117.5d797f28.js,.js,True,raw/iclass.tku.edu.tw/static/12117.5d797f28.js,200
raw/iclass.tku.edu.tw/static/runtime~js/lms-main-d01aa8bf.js,https://iclass.tku.edu.tw/static/12149.3c82261f.js,.js,True,raw/iclass.tku.edu.tw/static/12149.3c82261f.js,200
raw/iclass.tku.edu.tw/static/runtime~js/lms-main-d01aa8bf.js,https://iclass.tku.edu.tw/static/12159-e10443e1.chunk.css,.css,True,raw/iclass.tku.edu.tw/static/12159-e10443e1.chunk.css,200
raw/iclass.tku.edu.tw/static/runtime~js/lms-main-d01aa8bf.js,https://iclass.tku.edu.tw/static/12159.899c0f01.js,.js,True,raw/iclass.tku.edu.tw/static/12159.899c0f01.js,200
raw/iclass.tku.edu.tw/static/runtime~js/lms-main-d01aa8bf.js,https://iclass.tku.edu.tw/static/12308.ea29ac7a.js,.js,True,raw/iclass.tku.edu.tw/static/12308.ea29ac7a.js,200
raw/iclass.tku.edu.tw/static/runtime~js/lms-main-d01aa8bf.js,https://iclass.tku.edu.tw/static/12459.b3a383cc.js,.js,True,raw/iclass.tku.edu.tw/static/12459.b3a383cc.js,200
raw/iclass.tku.edu.tw/static/runtime~js/lms-main-d01aa8bf.js,https://iclass.tku.edu.tw/static/12472.934ad466.js,.js,True,raw/iclass.tku.edu.tw/static/12472.934ad466.js,200
raw/iclass.tku.edu.tw/static/runtime~js/lms-main-d01aa8bf.js,https://iclass.tku.edu.tw/static/12798-c867edb0.chunk.css,.css,True,raw/iclass.tku.edu.tw/static/12798-c867edb0.chunk.css,200
raw/iclass.tku.edu.tw/static/runtime~js/lms-main-d01aa8bf.js,https://iclass.tku.edu.tw/static/12798.0fbe5454.js,.js,True,raw/iclass.tku.edu.tw/static/12798.0fbe5454.js,200
raw/iclass.tku.edu.tw/static/runtime~js/lms-main-d01aa8bf.js,https://iclass.tku.edu.tw/static/12855-d64fef13.chunk.css,.css,True,raw/iclass.tku.edu.tw/static/12855-d64fef13.chunk.css,200
raw/iclass.tku.edu.tw/static/runtime~js/lms-main-d01aa8bf.js,https://iclass.tku.edu.tw/static/12919.6fa9ad31.js,.js,True,raw/iclass.tku.edu.tw/static/12919.6fa9ad31.js,200
raw/iclass.tku.edu.tw/static/runtime~js/lms-main-d01aa8bf.js,https://iclass.tku.edu.tw/static/13529.d8cb667c.js,.js,True,raw/iclass.tku.edu.tw/static/13529.d8cb667c.js,200
raw/iclass.tku.edu.tw/static/runtime~js/lms-main-d01aa8bf.js,https://iclass.tku.edu.tw/static/13642.2932c270.js,.js,True,raw/iclass.tku.edu.tw/static/13642.2932c270.js,200
raw/iclass.tku.edu.tw/static/runtime~js/lms-main-d01aa8bf.js,https://iclass.tku.edu.tw/static/13701-02895363.chunk.css,.css,True,raw/iclass.tku.edu.tw/static/13701-02895363.chunk.css,200
raw/iclass.tku.edu.tw/static/runtime~js/lms-main-d01aa8bf.js,https://iclass.tku.edu.tw/static/13701.211c2be4.js,.js,True,raw/iclass.tku.edu.tw/static/13701.211c2be4.js,200
raw/iclass.tku.edu.tw/static/runtime~js/lms-main-d01aa8bf.js,https://iclass.tku.edu.tw/static/13706.e0d1043a.js,.js,True,raw/iclass.tku.edu.tw/static/13706.e0d1043a.js,200
raw/iclass.tku.edu.tw/static/runtime~js/lms-main-d01aa8bf.js,https://iclass.tku.edu.tw/static/13775.3b2bed97.js,.js,True,raw/iclass.tku.edu.tw/static/13775.3b2bed97.js,200
raw/iclass.tku.edu.tw/static/runtime~js/lms-main-d01aa8bf.js,https://iclass.tku.edu.tw/static/13821.33a6dc05.js,.js,True,raw/iclass.tku.edu.tw/static/13821.33a6dc05.js,200
raw/iclass.tku.edu.tw/static/runtime~js/lms-main-d01aa8bf.js,https://iclass.tku.edu.tw/static/13856.b8c445c8.js,.js,True,raw/iclass.tku.edu.tw/static/13856.b8c445c8.js,200
raw/iclass.tku.edu.tw/static/runtime~js/lms-main-d01aa8bf.js,https://iclass.tku.edu.tw/static/14054-3613432e.chunk.css,.css,True,raw/iclass.tku.edu.tw/static/14054-3613432e.chunk.css,200
raw/iclass.tku.edu.tw/static/runtime~js/lms-main-d01aa8bf.js,https://iclass.tku.edu.tw/static/14054.cec4ff15.js,.js,True,raw/iclass.tku.edu.tw/static/14054.cec4ff15.js,200
raw/iclass.tku.edu.tw/static/runtime~js/lms-main-d01aa8bf.js,https://iclass.tku.edu.tw/static/14068.31ea119d.js,.js,True,raw/iclass.tku.edu.tw/static/14068.31ea119d.js,200
raw/iclass.tku.edu.tw/static/runtime~js/lms-main-d01aa8bf.js,https://iclass.tku.edu.tw/static/14279.f75486f1.js,.js,True,raw/iclass.tku.edu.tw/static/14279.f75486f1.js,200
raw/iclass.tku.edu.tw/static/runtime~js/lms-main-d01aa8bf.js,https://iclass.tku.edu.tw/static/14433.8da36488.js,.js,True,raw/iclass.tku.edu.tw/static/14433.8da36488.js,200
