url,status,path,bytes,content_type,sha256,extension,line_count,avg_line_bytes,is_minified_or_single_line,has_webpack_runtime_marker,has_source_map_comment,source_map_comment_count,real_source_map_refs,embedded_source_map_refs
https://ilearn.thu.edu.tw/static/25489.a2b39580.js,200,raw/ilearn.thu.edu.tw/static/25489.a2b39580.js,2796,application/javascript,54cd4d72f79c80c0617066ec3b01f08b690ee192b34f208e76e43efdf8e98a2f,.js,1,2796.0,True,True,False,0,,0
https://ilearn.thu.edu.tw/static/25629.d20b1ba9.js,200,raw/ilearn.thu.edu.tw/static/25629.d20b1ba9.js,6908,application/javascript,23dc5d854332b9dc6f4efbb97adebc2c8db750d2ba7f9a07801bbc664b581f01,.js,1,6908.0,True,True,False,0,,0
https://ilearn.thu.edu.tw/static/25690.6f62ca93.js,200,raw/ilearn.thu.edu.tw/static/25690.6f62ca93.js,2636,application/javascript,c0896eed7e5980782cbe25bcfa17d17cd3e9cbb412efdd2e96f25055eaa2f9ba,.js,1,2636.0,True,True,False,0,,0
https://ilearn.thu.edu.tw/static/25695.1e9f7e35.js,200,raw/ilearn.thu.edu.tw/static/25695.1e9f7e35.js,106774,application/javascript,d84e9bade122dbd55c2ca51cba546a82c88b83c11d7b0b0ca45f595b8610d248,.js,1,106774.0,True,True,False,0,,0
https://ilearn.thu.edu.tw/static/25753.6c691880.js,200,raw/ilearn.thu.edu.tw/static/25753.6c691880.js,26520,application/javascript,fefcbc194dbc6c64ebf931ae0c00fa46e6758d658e54f01383e7cb9f1a5a6214,.js,1,26520.0,True,True,False,0,,0
https://ilearn.thu.edu.tw/static/25802.f65d672c.js,200,raw/ilearn.thu.edu.tw/static/25802.f65d672c.js,26301,application/javascript,fc1442e5fb1af2ed750df58e1ec575ce4dd6fecd9e31ffabf8a5645d28ed9c26,.js,1,26301.0,True,True,False,0,,0
https://ilearn.thu.edu.tw/static/25919.fd7b60aa.js,200,raw/ilearn.thu.edu.tw/static/25919.fd7b60aa.js,17997,application/javascript,9ec86f526880ddbb97b9cedc005c3be1bef7da492b7dda05efc6e9cde01bf0bf,.js,1,17997.0,True,True,False,0,,0
https://ilearn.thu.edu.tw/static/25996-369ed60a.js,200,raw/ilearn.thu.edu.tw/static/25996-369ed60a.js,27905,application/javascript,1d2db6888d3f89dff345f8da0c9f26af67fccb4680b2f8a797a3f54df1e0d3de,.js,1,27905.0,True,True,False,0,,0
https://ilearn.thu.edu.tw/static/26039.b4a636ae.js,200,raw/ilearn.thu.edu.tw/static/26039.b4a636ae.js,22263,application/javascript,02a68a17ad9687d0384d47e043f2e5b1564558c615a61d939c64ac8197008e0a,.js,1,22263.0,True,True,False,0,,0
https://ilearn.thu.edu.tw/static/26132-3e4ab0d2.js,200,raw/ilearn.thu.edu.tw/static/26132-3e4ab0d2.js,34984,application/javascript,41645576b7cee8f3d211e2b5687e5d17362cc3fb1fd099a2ea99db4b3c28be58,.js,1,34984.0,True,True,False,0,,0
https://ilearn.thu.edu.tw/static/26155-18604e98.chunk.css,200,raw/ilearn.thu.edu.tw/static/26155-18604e98.chunk.css,3067,text/css,88d2a66a81bb37ac17036ed24397a39b76f2fbc6f2fd666ef08f66cf0e1ed98e,.css,1,3067.0,True,False,False,0,,0
https://ilearn.thu.edu.tw/static/26155.fb0dcb45.js,200,raw/ilearn.thu.edu.tw/static/26155.fb0dcb45.js,8917,application/javascript,79d7e58179b0ac29dd035a2fcbc701d94a839440aa5deaa4e0fe6c2ff807f3d1,.js,1,8917.0,True,True,False,0,,0
