endpoint,category,method_hints,source_count,source_files,sources_sample,observed_statuses
/api/classes?org_id=,classes,OBSERVED_GET; UNKNOWN,10,10,raw/ilearn.thu.edu.tw/api/classes__q_7eb221d14c.json; raw/ilearn.thu.edu.tw/static/19832.b33b43a5.js; raw/ilearn.thu.edu.tw/static/28605.fa92e51e.js; raw/ilearn.thu.edu.tw/static/63256.3e10694e.js; raw/ilearn.thu.edu.tw/static/68805.a47db79c.js; raw/ilearn.thu.edu.tw/static/7693.6ddfbed1.js; raw/ilearn.thu.edu.tw/static/86422.36d3f50f.js; raw/ilearn.thu.edu.tw/static/91320.6f83888e.js; raw/ilearn.thu.edu.tw/static/91962-91463afb.js; raw/ilearn.thu.edu.tw/static/99006.38242dc9.js,200
/api/copy-third-part-resources,copy-third-part-resources,OBSERVED_GET; POST,10,10,raw/ilearn.thu.edu.tw/api/copy-third-part-resources.html; raw/ilearn.thu.edu.tw/static/19832.b33b43a5.js; raw/ilearn.thu.edu.tw/static/28605.fa92e51e.js; raw/ilearn.thu.edu.tw/static/63256.3e10694e.js; raw/ilearn.thu.edu.tw/static/68805.a47db79c.js; raw/ilearn.thu.edu.tw/static/7693.6ddfbed1.js; raw/ilearn.thu.edu.tw/static/86422.36d3f50f.js; raw/ilearn.thu.edu.tw/static/91320.6f83888e.js; raw/ilearn.thu.edu.tw/static/91962-91463afb.js; raw/ilearn.thu.edu.tw/static/99006.38242dc9.js,500
/api/course-classifications,course-classifications,OBSERVED_GET; POST,10,10,raw/ilearn.thu.edu.tw/api/course-classifications.json; raw/ilearn.thu.edu.tw/static/19832.b33b43a5.js; raw/ilearn.thu.edu.tw/static/28605.fa92e51e.js; raw/ilearn.thu.edu.tw/static/63256.3e10694e.js; raw/ilearn.thu.edu.tw/static/68805.a47db79c.js; raw/ilearn.thu.edu.tw/static/7693.6ddfbed1.js; raw/ilearn.thu.edu.tw/static/86422.36d3f50f.js; raw/ilearn.thu.edu.tw/static/91320.6f83888e.js; raw/ilearn.thu.edu.tw/static/91962-91463afb.js; raw/ilearn.thu.edu.tw/static/99006.38242dc9.js,200
/api/courses/interactions/,courses,OBSERVED_GET; POST; PUT,10,9,raw/ilearn.thu.edu.tw/api/courses/interactions/index.json; raw/ilearn.thu.edu.tw/static/26703.244911cf.js; raw/ilearn.thu.edu.tw/static/37336.084b8613.js; raw/ilearn.thu.edu.tw/static/41986.fbf3188d.js; raw/ilearn.thu.edu.tw/static/44346.7b57b52e.js; raw/ilearn.thu.edu.tw/static/54964-7faa4ec3.js; raw/ilearn.thu.edu.tw/static/83727.aab0cb48.js; raw/ilearn.thu.edu.tw/static/88788.161d6b6a.js; raw/ilearn.thu.edu.tw/static/88951.3d50816c.js,404
/api/curriculum-conditions/,curriculum-conditions,DELETE; GET; OBSERVED_GET; PATCH,10,4,raw/ilearn.thu.edu.tw/api/curriculum-conditions/index.json; raw/ilearn.thu.edu.tw/static/14928.ccbfea64.js; raw/ilearn.thu.edu.tw/static/24262.bfbc60d3.js; raw/ilearn.thu.edu.tw/static/24712-18317acc.js,404
/api/curriculums/,curriculums,DELETE; OBSERVED_GET; PATCH; POST,10,4,raw/ilearn.thu.edu.tw/api/curriculums/index.json; raw/ilearn.thu.edu.tw/static/14928.ccbfea64.js; raw/ilearn.thu.edu.tw/static/24262.bfbc60d3.js; raw/ilearn.thu.edu.tw/static/24712-18317acc.js,404
/api/data-import/course-groups,data-import,OBSERVED_GET; POST,10,10,raw/ilearn.thu.edu.tw/api/data-import/course-groups.html; raw/ilearn.thu.edu.tw/static/19832.b33b43a5.js; raw/ilearn.thu.edu.tw/static/28605.fa92e51e.js; raw/ilearn.thu.edu.tw/static/63256.3e10694e.js; raw/ilearn.thu.edu.tw/static/68805.a47db79c.js; raw/ilearn.thu.edu.tw/static/7693.6ddfbed1.js; raw/ilearn.thu.edu.tw/static/86422.36d3f50f.js; raw/ilearn.thu.edu.tw/static/91320.6f83888e.js; raw/ilearn.thu.edu.tw/static/91962-91463afb.js; raw/ilearn.thu.edu.tw/static/99006.38242dc9.js,500
/api/data-import/course/,data-import,OBSERVED_GET; POST,10,10,raw/ilearn.thu.edu.tw/api/data-import/course/index.json; raw/ilearn.thu.edu.tw/static/19832.b33b43a5.js; raw/ilearn.thu.edu.tw/static/28605.fa92e51e.js; raw/ilearn.thu.edu.tw/static/63256.3e10694e.js; raw/ilearn.thu.edu.tw/static/68805.a47db79c.js; raw/ilearn.thu.edu.tw/static/7693.6ddfbed1.js; raw/ilearn.thu.edu.tw/static/86422.36d3f50f.js; raw/ilearn.thu.edu.tw/static/91320.6f83888e.js; raw/ilearn.thu.edu.tw/static/91962-91463afb.js; raw/ilearn.thu.edu.tw/static/99006.38242dc9.js,404
/api/data-import/item_scores/,data-import,OBSERVED_GET; POST,10,10,raw/ilearn.thu.edu.tw/api/data-import/item_scores/index.json; raw/ilearn.thu.edu.tw/static/19832.b33b43a5.js; raw/ilearn.thu.edu.tw/static/28605.fa92e51e.js; raw/ilearn.thu.edu.tw/static/63256.3e10694e.js; raw/ilearn.thu.edu.tw/static/68805.a47db79c.js; raw/ilearn.thu.edu.tw/static/7693.6ddfbed1.js; raw/ilearn.thu.edu.tw/static/86422.36d3f50f.js; raw/ilearn.thu.edu.tw/static/91320.6f83888e.js; raw/ilearn.thu.edu.tw/static/91962-91463afb.js; raw/ilearn.thu.edu.tw/static/99006.38242dc9.js,404
/api/data-import/scores/,data-import,OBSERVED_GET; POST,10,10,raw/ilearn.thu.edu.tw/api/data-import/scores/index.json; raw/ilearn.thu.edu.tw/static/19832.b33b43a5.js; raw/ilearn.thu.edu.tw/static/28605.fa92e51e.js; raw/ilearn.thu.edu.tw/static/63256.3e10694e.js; raw/ilearn.thu.edu.tw/static/68805.a47db79c.js; raw/ilearn.thu.edu.tw/static/7693.6ddfbed1.js; raw/ilearn.thu.edu.tw/static/86422.36d3f50f.js; raw/ilearn.thu.edu.tw/static/91320.6f83888e.js; raw/ilearn.thu.edu.tw/static/91962-91463afb.js; raw/ilearn.thu.edu.tw/static/99006.38242dc9.js,404
/api/data-import/seat-number/,data-import,OBSERVED_GET; POST,10,10,raw/ilearn.thu.edu.tw/api/data-import/seat-number/index.json; raw/ilearn.thu.edu.tw/static/19832.b33b43a5.js; raw/ilearn.thu.edu.tw/static/28605.fa92e51e.js; raw/ilearn.thu.edu.tw/static/63256.3e10694e.js; raw/ilearn.thu.edu.tw/static/68805.a47db79c.js; raw/ilearn.thu.edu.tw/static/7693.6ddfbed1.js; raw/ilearn.thu.edu.tw/static/86422.36d3f50f.js; raw/ilearn.thu.edu.tw/static/91320.6f83888e.js; raw/ilearn.thu.edu.tw/static/91962-91463afb.js; raw/ilearn.thu.edu.tw/static/99006.38242dc9.js,404
/api/homeworks/,homeworks,DELETE; GET; OBSERVED_GET; PATCH; POST; UNKNOWN,10,7,raw/ilearn.thu.edu.tw/api/homeworks/index.json; raw/ilearn.thu.edu.tw/static/26645.3ac5e040.js; raw/ilearn.thu.edu.tw/static/42585.3fa356ed.js; raw/ilearn.thu.edu.tw/static/55200.e380810d.js; raw/ilearn.thu.edu.tw/static/74613.79d89a15.js; raw/ilearn.thu.edu.tw/static/82017-1e48dc04.js; raw/ilearn.thu.edu.tw/static/88788.161d6b6a.js,404
/api/lark/files,lark,GET; OBSERVED_GET,10,10,raw/ilearn.thu.edu.tw/api/lark/files.json; raw/ilearn.thu.edu.tw/static/19832.b33b43a5.js; raw/ilearn.thu.edu.tw/static/28605.fa92e51e.js; raw/ilearn.thu.edu.tw/static/63256.3e10694e.js; raw/ilearn.thu.edu.tw/static/68805.a47db79c.js; raw/ilearn.thu.edu.tw/static/7693.6ddfbed1.js; raw/ilearn.thu.edu.tw/static/86422.36d3f50f.js; raw/ilearn.thu.edu.tw/static/91320.6f83888e.js; raw/ilearn.thu.edu.tw/static/91962-91463afb.js; raw/ilearn.thu.edu.tw/static/99006.38242dc9.js,404
/api/lesson-resources/shared-stat,lesson-resources,GET; OBSERVED_GET,10,10,raw/ilearn.thu.edu.tw/api/lesson-resources/shared-stat.json; raw/ilearn.thu.edu.tw/static/19832.b33b43a5.js; raw/ilearn.thu.edu.tw/static/28605.fa92e51e.js; raw/ilearn.thu.edu.tw/static/63256.3e10694e.js; raw/ilearn.thu.edu.tw/static/68805.a47db79c.js; raw/ilearn.thu.edu.tw/static/7693.6ddfbed1.js; raw/ilearn.thu.edu.tw/static/86422.36d3f50f.js; raw/ilearn.thu.edu.tw/static/91320.6f83888e.js; raw/ilearn.thu.edu.tw/static/91962-91463afb.js; raw/ilearn.thu.edu.tw/static/99006.38242dc9.js,403
"/api/my-curriculum-academic-years?fields=id,name,sort,is_active",my-curriculum-academic-years,GET; OBSERVED_GET,10,10,raw/ilearn.thu.edu.tw/api/my-curriculum-academic-years__q_d63a01cb0b.json; raw/ilearn.thu.edu.tw/static/19832.b33b43a5.js; raw/ilearn.thu.edu.tw/static/28605.fa92e51e.js; raw/ilearn.thu.edu.tw/static/63256.3e10694e.js; raw/ilearn.thu.edu.tw/static/68805.a47db79c.js; raw/ilearn.thu.edu.tw/static/7693.6ddfbed1.js; raw/ilearn.thu.edu.tw/static/86422.36d3f50f.js; raw/ilearn.thu.edu.tw/static/91320.6f83888e.js; raw/ilearn.thu.edu.tw/static/91962-91463afb.js; raw/ilearn.thu.edu.tw/static/99006.38242dc9.js,404
/api/obe/existed-metrics?params=,obe,GET; OBSERVED_GET,10,10,raw/ilearn.thu.edu.tw/api/obe/existed-metrics__q_1647af518b.json; raw/ilearn.thu.edu.tw/static/19832.b33b43a5.js; raw/ilearn.thu.edu.tw/static/28605.fa92e51e.js; raw/ilearn.thu.edu.tw/static/63256.3e10694e.js; raw/ilearn.thu.edu.tw/static/68805.a47db79c.js; raw/ilearn.thu.edu.tw/static/7693.6ddfbed1.js; raw/ilearn.thu.edu.tw/static/86422.36d3f50f.js; raw/ilearn.thu.edu.tw/static/91320.6f83888e.js; raw/ilearn.thu.edu.tw/static/91962-91463afb.js; raw/ilearn.thu.edu.tw/static/99006.38242dc9.js,400
/api/program/user-programs?fields=,program,OBSERVED_GET; UNKNOWN,10,10,raw/ilearn.thu.edu.tw/api/program/user-programs__q_b2d7469233.json; raw/ilearn.thu.edu.tw/static/19832.b33b43a5.js; raw/ilearn.thu.edu.tw/static/28605.fa92e51e.js; raw/ilearn.thu.edu.tw/static/63256.3e10694e.js; raw/ilearn.thu.edu.tw/static/68805.a47db79c.js; raw/ilearn.thu.edu.tw/static/7693.6ddfbed1.js; raw/ilearn.thu.edu.tw/static/86422.36d3f50f.js; raw/ilearn.thu.edu.tw/static/91320.6f83888e.js; raw/ilearn.thu.edu.tw/static/91962-91463afb.js; raw/ilearn.thu.edu.tw/static/99006.38242dc9.js,200
/api/shared-resource/classifications,shared-resource,OBSERVED_GET; POST,10,10,raw/ilearn.thu.edu.tw/api/shared-resource/classifications.json; raw/ilearn.thu.edu.tw/static/19832.b33b43a5.js; raw/ilearn.thu.edu.tw/static/28605.fa92e51e.js; raw/ilearn.thu.edu.tw/static/63256.3e10694e.js; raw/ilearn.thu.edu.tw/static/68805.a47db79c.js; raw/ilearn.thu.edu.tw/static/7693.6ddfbed1.js; raw/ilearn.thu.edu.tw/static/86422.36d3f50f.js; raw/ilearn.thu.edu.tw/static/91320.6f83888e.js; raw/ilearn.thu.edu.tw/static/91962-91463afb.js; raw/ilearn.thu.edu.tw/static/99006.38242dc9.js,200
/api/slides?keyword=,slides,DELETE; OBSERVED_GET,10,10,raw/ilearn.thu.edu.tw/api/slides__q_634b7b9d78.json; raw/ilearn.thu.edu.tw/static/19832.b33b43a5.js; raw/ilearn.thu.edu.tw/static/28605.fa92e51e.js; raw/ilearn.thu.edu.tw/static/63256.3e10694e.js; raw/ilearn.thu.edu.tw/static/68805.a47db79c.js; raw/ilearn.thu.edu.tw/static/7693.6ddfbed1.js; raw/ilearn.thu.edu.tw/static/86422.36d3f50f.js; raw/ilearn.thu.edu.tw/static/91320.6f83888e.js; raw/ilearn.thu.edu.tw/static/91962-91463afb.js; raw/ilearn.thu.edu.tw/static/99006.38242dc9.js,200
/api/top-departments?fields=,top-departments,OBSERVED_GET; POST,10,10,raw/ilearn.thu.edu.tw/api/top-departments__q_b2d7469233.json; raw/ilearn.thu.edu.tw/static/19832.b33b43a5.js; raw/ilearn.thu.edu.tw/static/28605.fa92e51e.js; raw/ilearn.thu.edu.tw/static/63256.3e10694e.js; raw/ilearn.thu.edu.tw/static/68805.a47db79c.js; raw/ilearn.thu.edu.tw/static/7693.6ddfbed1.js; raw/ilearn.thu.edu.tw/static/86422.36d3f50f.js; raw/ilearn.thu.edu.tw/static/91320.6f83888e.js; raw/ilearn.thu.edu.tw/static/91962-91463afb.js; raw/ilearn.thu.edu.tw/static/99006.38242dc9.js,200
/api/user/academic-learning-resources,user,OBSERVED_GET; POST,10,10,raw/ilearn.thu.edu.tw/api/user/academic-learning-resources.html; raw/ilearn.thu.edu.tw/static/19832.b33b43a5.js; raw/ilearn.thu.edu.tw/static/28605.fa92e51e.js; raw/ilearn.thu.edu.tw/static/63256.3e10694e.js; raw/ilearn.thu.edu.tw/static/68805.a47db79c.js; raw/ilearn.thu.edu.tw/static/7693.6ddfbed1.js; raw/ilearn.thu.edu.tw/static/86422.36d3f50f.js; raw/ilearn.thu.edu.tw/static/91320.6f83888e.js; raw/ilearn.thu.edu.tw/static/91962-91463afb.js; raw/ilearn.thu.edu.tw/static/99006.38242dc9.js,500
/api/user/classes,user,OBSERVED_GET; UNKNOWN,10,10,raw/ilearn.thu.edu.tw/api/user/classes.json; raw/ilearn.thu.edu.tw/static/19832.b33b43a5.js; raw/ilearn.thu.edu.tw/static/28605.fa92e51e.js; raw/ilearn.thu.edu.tw/static/63256.3e10694e.js; raw/ilearn.thu.edu.tw/static/68805.a47db79c.js; raw/ilearn.thu.edu.tw/static/7693.6ddfbed1.js; raw/ilearn.thu.edu.tw/static/86422.36d3f50f.js; raw/ilearn.thu.edu.tw/static/91320.6f83888e.js; raw/ilearn.thu.edu.tw/static/91962-91463afb.js; raw/ilearn.thu.edu.tw/static/99006.38242dc9.js,200
/api/user/other-video-resources,user,OBSERVED_GET; POST,10,10,raw/ilearn.thu.edu.tw/api/user/other-video-resources.html; raw/ilearn.thu.edu.tw/static/19832.b33b43a5.js; raw/ilearn.thu.edu.tw/static/28605.fa92e51e.js; raw/ilearn.thu.edu.tw/static/63256.3e10694e.js; raw/ilearn.thu.edu.tw/static/68805.a47db79c.js; raw/ilearn.thu.edu.tw/static/7693.6ddfbed1.js; raw/ilearn.thu.edu.tw/static/86422.36d3f50f.js; raw/ilearn.thu.edu.tw/static/91320.6f83888e.js; raw/ilearn.thu.edu.tw/static/91962-91463afb.js; raw/ilearn.thu.edu.tw/static/99006.38242dc9.js,500
/api/user/resources,user,GET; OBSERVED_GET,10,10,raw/ilearn.thu.edu.tw/api/user/resources.json; raw/ilearn.thu.edu.tw/static/19832.b33b43a5.js; raw/ilearn.thu.edu.tw/static/28605.fa92e51e.js; raw/ilearn.thu.edu.tw/static/63256.3e10694e.js; raw/ilearn.thu.edu.tw/static/68805.a47db79c.js; raw/ilearn.thu.edu.tw/static/7693.6ddfbed1.js; raw/ilearn.thu.edu.tw/static/86422.36d3f50f.js; raw/ilearn.thu.edu.tw/static/91320.6f83888e.js; raw/ilearn.thu.edu.tw/static/91962-91463afb.js; raw/ilearn.thu.edu.tw/static/99006.38242dc9.js,200
/api/user/third-part-resources,user,GET; OBSERVED_GET,10,10,raw/ilearn.thu.edu.tw/api/user/third-part-resources.html; raw/ilearn.thu.edu.tw/static/19832.b33b43a5.js; raw/ilearn.thu.edu.tw/static/28605.fa92e51e.js; raw/ilearn.thu.edu.tw/static/63256.3e10694e.js; raw/ilearn.thu.edu.tw/static/68805.a47db79c.js; raw/ilearn.thu.edu.tw/static/7693.6ddfbed1.js; raw/ilearn.thu.edu.tw/static/86422.36d3f50f.js; raw/ilearn.thu.edu.tw/static/91320.6f83888e.js; raw/ilearn.thu.edu.tw/static/91962-91463afb.js; raw/ilearn.thu.edu.tw/static/99006.38242dc9.js,500
/api/user?type=all&response_key=,user,OBSERVED_GET; POST,10,10,raw/ilearn.thu.edu.tw/api/user__q_f23c2273ea.json; raw/ilearn.thu.edu.tw/static/19832.b33b43a5.js; raw/ilearn.thu.edu.tw/static/28605.fa92e51e.js; raw/ilearn.thu.edu.tw/static/63256.3e10694e.js; raw/ilearn.thu.edu.tw/static/68805.a47db79c.js; raw/ilearn.thu.edu.tw/static/7693.6ddfbed1.js; raw/ilearn.thu.edu.tw/static/86422.36d3f50f.js; raw/ilearn.thu.edu.tw/static/91320.6f83888e.js; raw/ilearn.thu.edu.tw/static/91962-91463afb.js; raw/ilearn.thu.edu.tw/static/99006.38242dc9.js,403
/api/user?type=instructor,user,GET; OBSERVED_GET,10,10,raw/ilearn.thu.edu.tw/api/user__q_562fb3401e.json; raw/ilearn.thu.edu.tw/static/19832.b33b43a5.js; raw/ilearn.thu.edu.tw/static/28605.fa92e51e.js; raw/ilearn.thu.edu.tw/static/63256.3e10694e.js; raw/ilearn.thu.edu.tw/static/68805.a47db79c.js; raw/ilearn.thu.edu.tw/static/7693.6ddfbed1.js; raw/ilearn.thu.edu.tw/static/86422.36d3f50f.js; raw/ilearn.thu.edu.tw/static/91320.6f83888e.js; raw/ilearn.thu.edu.tw/static/91962-91463afb.js; raw/ilearn.thu.edu.tw/static/99006.38242dc9.js,403
/api/warning/student/,warning,DELETE; OBSERVED_GET,10,10,raw/ilearn.thu.edu.tw/api/warning/student/index.json; raw/ilearn.thu.edu.tw/static/19832.b33b43a5.js; raw/ilearn.thu.edu.tw/static/28605.fa92e51e.js; raw/ilearn.thu.edu.tw/static/63256.3e10694e.js; raw/ilearn.thu.edu.tw/static/68805.a47db79c.js; raw/ilearn.thu.edu.tw/static/7693.6ddfbed1.js; raw/ilearn.thu.edu.tw/static/86422.36d3f50f.js; raw/ilearn.thu.edu.tw/static/91320.6f83888e.js; raw/ilearn.thu.edu.tw/static/91962-91463afb.js; raw/ilearn.thu.edu.tw/static/99006.38242dc9.js,404
/api/chinamcloud/upload,chinamcloud,POST,9,9,raw/ilearn.thu.edu.tw/static/19832.b33b43a5.js; raw/ilearn.thu.edu.tw/static/28605.fa92e51e.js; raw/ilearn.thu.edu.tw/static/63256.3e10694e.js; raw/ilearn.thu.edu.tw/static/68805.a47db79c.js; raw/ilearn.thu.edu.tw/static/7693.6ddfbed1.js; raw/ilearn.thu.edu.tw/static/86422.36d3f50f.js; raw/ilearn.thu.edu.tw/static/91320.6f83888e.js; raw/ilearn.thu.edu.tw/static/91962-91463afb.js; raw/ilearn.thu.edu.tw/static/99006.38242dc9.js,
/api/correction-books/,correction-books,DELETE; GET; OBSERVED_GET; POST; PUT,9,5,raw/ilearn.thu.edu.tw/api/correction-books/index.json; raw/ilearn.thu.edu.tw/static/43586.d1d9af5d.js; raw/ilearn.thu.edu.tw/static/49360.56d01019.js; raw/ilearn.thu.edu.tw/static/72203.0823b722.js; raw/ilearn.thu.edu.tw/static/74447.a214c8b5.js,404
/api/grades,grades,GET,9,9,raw/ilearn.thu.edu.tw/static/19832.b33b43a5.js; raw/ilearn.thu.edu.tw/static/28605.fa92e51e.js; raw/ilearn.thu.edu.tw/static/63256.3e10694e.js; raw/ilearn.thu.edu.tw/static/68805.a47db79c.js; raw/ilearn.thu.edu.tw/static/7693.6ddfbed1.js; raw/ilearn.thu.edu.tw/static/86422.36d3f50f.js; raw/ilearn.thu.edu.tw/static/91320.6f83888e.js; raw/ilearn.thu.edu.tw/static/91962-91463afb.js; raw/ilearn.thu.edu.tw/static/99006.38242dc9.js,
/api/grades?org_id=,grades,UNKNOWN,9,9,raw/ilearn.thu.edu.tw/static/19832.b33b43a5.js; raw/ilearn.thu.edu.tw/static/28605.fa92e51e.js; raw/ilearn.thu.edu.tw/static/63256.3e10694e.js; raw/ilearn.thu.edu.tw/static/68805.a47db79c.js; raw/ilearn.thu.edu.tw/static/7693.6ddfbed1.js; raw/ilearn.thu.edu.tw/static/86422.36d3f50f.js; raw/ilearn.thu.edu.tw/static/91320.6f83888e.js; raw/ilearn.thu.edu.tw/static/91962-91463afb.js; raw/ilearn.thu.edu.tw/static/99006.38242dc9.js,
/api/knowledge-node/,knowledge-node,DELETE; GET; OBSERVED_GET; POST; PUT,9,3,raw/ilearn.thu.edu.tw/api/knowledge-node/index.json; raw/ilearn.thu.edu.tw/static/16941-c2ecc958.js; raw/ilearn.thu.edu.tw/static/5636-3297b778.js,404
/api/knowledge-nodes/,knowledge-nodes,GET; OBSERVED_GET; POST; UNKNOWN,9,7,raw/ilearn.thu.edu.tw/api/knowledge-nodes/index.json; raw/ilearn.thu.edu.tw/static/16941-c2ecc958.js; raw/ilearn.thu.edu.tw/static/54964-7faa4ec3.js; raw/ilearn.thu.edu.tw/static/5636-3297b778.js; raw/ilearn.thu.edu.tw/static/56473.a646da96.js; raw/ilearn.thu.edu.tw/static/76756.7b06f21b.js; raw/ilearn.thu.edu.tw/static/7693.6ddfbed1.js,404
/api/modules/,modules,GET; OBSERVED_GET; POST; PUT,9,9,raw/ilearn.thu.edu.tw/api/modules/index.json; raw/ilearn.thu.edu.tw/static/25170.2159310c.js; raw/ilearn.thu.edu.tw/static/28509.a0b2d0f0.js; raw/ilearn.thu.edu.tw/static/41962.bc8e08bd.js; raw/ilearn.thu.edu.tw/static/44346.7b57b52e.js; raw/ilearn.thu.edu.tw/static/78723.49249bea.js; raw/ilearn.thu.edu.tw/static/83727.aab0cb48.js; raw/ilearn.thu.edu.tw/static/8979.df45e854.js; raw/ilearn.thu.edu.tw/static/98133-ef5ebb8f.js,404
/api/my-curriculum-semesters?,my-curriculum-semesters,GET,9,9,raw/ilearn.thu.edu.tw/static/19832.b33b43a5.js; raw/ilearn.thu.edu.tw/static/28605.fa92e51e.js; raw/ilearn.thu.edu.tw/static/63256.3e10694e.js; raw/ilearn.thu.edu.tw/static/68805.a47db79c.js; raw/ilearn.thu.edu.tw/static/7693.6ddfbed1.js; raw/ilearn.thu.edu.tw/static/86422.36d3f50f.js; raw/ilearn.thu.edu.tw/static/91320.6f83888e.js; raw/ilearn.thu.edu.tw/static/91962-91463afb.js; raw/ilearn.thu.edu.tw/static/99006.38242dc9.js,
/api/my-semesters?,my-semesters,GET,9,9,raw/ilearn.thu.edu.tw/static/19832.b33b43a5.js; raw/ilearn.thu.edu.tw/static/28605.fa92e51e.js; raw/ilearn.thu.edu.tw/static/63256.3e10694e.js; raw/ilearn.thu.edu.tw/static/68805.a47db79c.js; raw/ilearn.thu.edu.tw/static/7693.6ddfbed1.js; raw/ilearn.thu.edu.tw/static/86422.36d3f50f.js; raw/ilearn.thu.edu.tw/static/91320.6f83888e.js; raw/ilearn.thu.edu.tw/static/91962-91463afb.js; raw/ilearn.thu.edu.tw/static/99006.38242dc9.js,
/api/rollcall/merged-rollcall,rollcall,POST,9,9,raw/ilearn.thu.edu.tw/static/19832.b33b43a5.js; raw/ilearn.thu.edu.tw/static/28605.fa92e51e.js; raw/ilearn.thu.edu.tw/static/63256.3e10694e.js; raw/ilearn.thu.edu.tw/static/68805.a47db79c.js; raw/ilearn.thu.edu.tw/static/7693.6ddfbed1.js; raw/ilearn.thu.edu.tw/static/86422.36d3f50f.js; raw/ilearn.thu.edu.tw/static/91320.6f83888e.js; raw/ilearn.thu.edu.tw/static/91962-91463afb.js; raw/ilearn.thu.edu.tw/static/99006.38242dc9.js,
/api/rollcall/merged-rollcall/student-rollcalls,rollcall,PUT,9,9,raw/ilearn.thu.edu.tw/static/19832.b33b43a5.js; raw/ilearn.thu.edu.tw/static/28605.fa92e51e.js; raw/ilearn.thu.edu.tw/static/63256.3e10694e.js; raw/ilearn.thu.edu.tw/static/68805.a47db79c.js; raw/ilearn.thu.edu.tw/static/7693.6ddfbed1.js; raw/ilearn.thu.edu.tw/static/86422.36d3f50f.js; raw/ilearn.thu.edu.tw/static/91320.6f83888e.js; raw/ilearn.thu.edu.tw/static/91962-91463afb.js; raw/ilearn.thu.edu.tw/static/99006.38242dc9.js,
/api/video-quizzes/,video-quizzes,DELETE; GET; OBSERVED_GET; POST; PUT,9,6,raw/ilearn.thu.edu.tw/api/video-quizzes/index.json; raw/ilearn.thu.edu.tw/static/13856.6c8c84cd.js; raw/ilearn.thu.edu.tw/static/14615.8c38d7d4.js; raw/ilearn.thu.edu.tw/static/58273.e82db5f8.js; raw/ilearn.thu.edu.tw/static/72914-965f4ad4.js; raw/ilearn.thu.edu.tw/static/94170.7b87e45d.js,404
/api/vtrses/meetings/classifications/,vtrses,DELETE; OBSERVED_GET; PUT,9,5,raw/ilearn.thu.edu.tw/api/vtrses/meetings/classifications/index.json; raw/ilearn.thu.edu.tw/static/23977.ebaa5322.js; raw/ilearn.thu.edu.tw/static/40251.b93d27d4.js; raw/ilearn.thu.edu.tw/static/67853-6eb5a068.js; raw/ilearn.thu.edu.tw/static/78946.84d34ae9.js,404
/api/authz/course-roles/,authz,DELETE; PUT,8,4,raw/ilearn.thu.edu.tw/static/19619.6081b084.js; raw/ilearn.thu.edu.tw/static/34671.c9d36f7b.js; raw/ilearn.thu.edu.tw/static/6696.3bfff1df.js; raw/ilearn.thu.edu.tw/static/93392.97d11656.js,
/api/authz/roles/,authz,DELETE; PUT,8,4,raw/ilearn.thu.edu.tw/static/19619.6081b084.js; raw/ilearn.thu.edu.tw/static/34671.c9d36f7b.js; raw/ilearn.thu.edu.tw/static/6696.3bfff1df.js; raw/ilearn.thu.edu.tw/static/93392.97d11656.js,
/api/calendar-meeting,calendar-meeting,DELETE; OBSERVED_GET; POST,8,8,raw/ilearn.thu.edu.tw/api/calendar-meeting.json; raw/ilearn.thu.edu.tw/static/44346.7b57b52e.js; raw/ilearn.thu.edu.tw/static/72914-965f4ad4.js; raw/ilearn.thu.edu.tw/static/74302.a9e02d94.js; raw/ilearn.thu.edu.tw/static/76756.7b06f21b.js; raw/ilearn.thu.edu.tw/static/77887.e982b363.js; raw/ilearn.thu.edu.tw/static/80670-16696de3.js; raw/ilearn.thu.edu.tw/static/82017-1e48dc04.js,200
/api/combine-courses,combine-courses,OBSERVED_GET; POST,8,8,raw/ilearn.thu.edu.tw/api/combine-courses.json; raw/ilearn.thu.edu.tw/static/15134.740fc306.js; raw/ilearn.thu.edu.tw/static/37336.084b8613.js; raw/ilearn.thu.edu.tw/static/41789.52c6778d.js; raw/ilearn.thu.edu.tw/static/44346.7b57b52e.js; raw/ilearn.thu.edu.tw/static/49294.50a0a8b3.js; raw/ilearn.thu.edu.tw/static/82017-1e48dc04.js; raw/ilearn.thu.edu.tw/static/js/main-portal-cc072a5a.js,404
/api/course/custom-score-items/,course,DELETE; OBSERVED_GET; POST; PUT,8,4,raw/ilearn.thu.edu.tw/api/course/custom-score-items/index.json; raw/ilearn.thu.edu.tw/static/12159.7fb514eb.js; raw/ilearn.thu.edu.tw/static/82017-1e48dc04.js; raw/ilearn.thu.edu.tw/static/js/main-portal-cc072a5a.js,404
/api/courses/danmu/,courses,DELETE; GET; OBSERVED_GET,8,8,raw/ilearn.thu.edu.tw/api/courses/danmu/index.json; raw/ilearn.thu.edu.tw/static/27724.2ef3f54f.js; raw/ilearn.thu.edu.tw/static/37336.084b8613.js; raw/ilearn.thu.edu.tw/static/41986.fbf3188d.js; raw/ilearn.thu.edu.tw/static/44346.7b57b52e.js; raw/ilearn.thu.edu.tw/static/65174.dce3e42d.js; raw/ilearn.thu.edu.tw/static/83727.aab0cb48.js; raw/ilearn.thu.edu.tw/static/88788.161d6b6a.js,404
