endpoint,category,method_hints,source_count,source_files,sources_sample,observed_statuses
/api/uploads/[[activity.uploads[0].id]]/blob,uploads,UNKNOWN,187,187,raw/ilearn.thu.edu.tw/course-advance-setting.html; raw/ilearn.thu.edu.tw/course-audits.html; raw/ilearn.thu.edu.tw/course-catalog-wrapper.html; raw/ilearn.thu.edu.tw/course-classifications.html; raw/ilearn.thu.edu.tw/course-completeness__q_ee1eaef797.html; raw/ilearn.thu.edu.tw/course-cover.html; raw/ilearn.thu.edu.tw/course-credit-setting.html; raw/ilearn.thu.edu.tw/course-estimate-wrapper.html; raw/ilearn.thu.edu.tw/course-estimates-replies/index.html; raw/ilearn.thu.edu.tw/course-estimates/avatarSmallUrl.html,
/api/uploads/{expr}/swf,uploads,UNKNOWN,187,187,raw/ilearn.thu.edu.tw/course-advance-setting.html; raw/ilearn.thu.edu.tw/course-audits.html; raw/ilearn.thu.edu.tw/course-catalog-wrapper.html; raw/ilearn.thu.edu.tw/course-classifications.html; raw/ilearn.thu.edu.tw/course-completeness__q_ee1eaef797.html; raw/ilearn.thu.edu.tw/course-cover.html; raw/ilearn.thu.edu.tw/course-credit-setting.html; raw/ilearn.thu.edu.tw/course-estimate-wrapper.html; raw/ilearn.thu.edu.tw/course-estimates-replies/index.html; raw/ilearn.thu.edu.tw/course-estimates/avatarSmallUrl.html,
https://ilearn.thu.edu.tw/api/uploads/{id}/modified-image?thumbnail=32x32,uploads,UNKNOWN,187,187,raw/ilearn.thu.edu.tw/api/course-estimates/81288.json; raw/ilearn.thu.edu.tw/api/profile.json; raw/ilearn.thu.edu.tw/course-advance-setting.html; raw/ilearn.thu.edu.tw/course-audits.html; raw/ilearn.thu.edu.tw/course-catalog-wrapper.html; raw/ilearn.thu.edu.tw/course-classifications.html; raw/ilearn.thu.edu.tw/course-completeness__q_ee1eaef797.html; raw/ilearn.thu.edu.tw/course-cover.html; raw/ilearn.thu.edu.tw/course-credit-setting.html; raw/ilearn.thu.edu.tw/course-estimate-wrapper.html,
/api/uploads/21/modified-image?thumbnail=0x272';,uploads,UNKNOWN,185,185,raw/ilearn.thu.edu.tw/course-advance-setting.html; raw/ilearn.thu.edu.tw/course-audits.html; raw/ilearn.thu.edu.tw/course-catalog-wrapper.html; raw/ilearn.thu.edu.tw/course-classifications.html; raw/ilearn.thu.edu.tw/course-completeness__q_ee1eaef797.html; raw/ilearn.thu.edu.tw/course-cover.html; raw/ilearn.thu.edu.tw/course-credit-setting.html; raw/ilearn.thu.edu.tw/course-estimate-wrapper.html; raw/ilearn.thu.edu.tw/course-estimates-replies/index.html; raw/ilearn.thu.edu.tw/course-estimates/avatarSmallUrl.html,
/api/uploads/{id}/modified-image?thumbnail=32x32,uploads,UNKNOWN,185,185,raw/ilearn.thu.edu.tw/api/course-estimates/81288.json; raw/ilearn.thu.edu.tw/api/profile.json; raw/ilearn.thu.edu.tw/course-advance-setting.html; raw/ilearn.thu.edu.tw/course-audits.html; raw/ilearn.thu.edu.tw/course-catalog-wrapper.html; raw/ilearn.thu.edu.tw/course-classifications.html; raw/ilearn.thu.edu.tw/course-completeness__q_ee1eaef797.html; raw/ilearn.thu.edu.tw/course-cover.html; raw/ilearn.thu.edu.tw/course-credit-setting.html; raw/ilearn.thu.edu.tw/course-estimate-wrapper.html,
https://ilearn.thu.edu.tw/api/uploads/21/modified-image?thumbnail=0x272,uploads,UNKNOWN,185,185,raw/ilearn.thu.edu.tw/course-advance-setting.html; raw/ilearn.thu.edu.tw/course-audits.html; raw/ilearn.thu.edu.tw/course-catalog-wrapper.html; raw/ilearn.thu.edu.tw/course-classifications.html; raw/ilearn.thu.edu.tw/course-completeness__q_ee1eaef797.html; raw/ilearn.thu.edu.tw/course-cover.html; raw/ilearn.thu.edu.tw/course-credit-setting.html; raw/ilearn.thu.edu.tw/course-estimate-wrapper.html; raw/ilearn.thu.edu.tw/course-estimates-replies/index.html; raw/ilearn.thu.edu.tw/course-estimates/avatarSmallUrl.html,
/api/uploads/{expr}/blob?preview=true,uploads,UNKNOWN,184,184,raw/ilearn.thu.edu.tw/chatbot/chatbot.umd.js; raw/ilearn.thu.edu.tw/course-advance-setting.html; raw/ilearn.thu.edu.tw/course-audits.html; raw/ilearn.thu.edu.tw/course-catalog-wrapper.html; raw/ilearn.thu.edu.tw/course-classifications.html; raw/ilearn.thu.edu.tw/course-completeness__q_ee1eaef797.html; raw/ilearn.thu.edu.tw/course-cover.html; raw/ilearn.thu.edu.tw/course-credit-setting.html; raw/ilearn.thu.edu.tw/course-estimate-wrapper.html; raw/ilearn.thu.edu.tw/course-estimates-replies/index.html,
/api/uploads/{id}/modified-image?thumbnail=200x200,uploads,UNKNOWN,184,184,raw/ilearn.thu.edu.tw/api/profile.json; raw/ilearn.thu.edu.tw/course-advance-setting.html; raw/ilearn.thu.edu.tw/course-audits.html; raw/ilearn.thu.edu.tw/course-catalog-wrapper.html; raw/ilearn.thu.edu.tw/course-classifications.html; raw/ilearn.thu.edu.tw/course-completeness__q_ee1eaef797.html; raw/ilearn.thu.edu.tw/course-cover.html; raw/ilearn.thu.edu.tw/course-credit-setting.html; raw/ilearn.thu.edu.tw/course-estimate-wrapper.html; raw/ilearn.thu.edu.tw/course-estimates-replies/index.html,
https://ilearn.thu.edu.tw/api/uploads/{id}/modified-image?thumbnail=200x200,uploads,UNKNOWN,184,184,raw/ilearn.thu.edu.tw/api/profile.json; raw/ilearn.thu.edu.tw/course-advance-setting.html; raw/ilearn.thu.edu.tw/course-audits.html; raw/ilearn.thu.edu.tw/course-catalog-wrapper.html; raw/ilearn.thu.edu.tw/course-classifications.html; raw/ilearn.thu.edu.tw/course-completeness__q_ee1eaef797.html; raw/ilearn.thu.edu.tw/course-cover.html; raw/ilearn.thu.edu.tw/course-credit-setting.html; raw/ilearn.thu.edu.tw/course-estimate-wrapper.html; raw/ilearn.thu.edu.tw/course-estimates-replies/index.html,
/api/third-part/uploads/{expr}/preview,third-part,UNKNOWN,183,183,raw/ilearn.thu.edu.tw/course-advance-setting.html; raw/ilearn.thu.edu.tw/course-audits.html; raw/ilearn.thu.edu.tw/course-catalog-wrapper.html; raw/ilearn.thu.edu.tw/course-classifications.html; raw/ilearn.thu.edu.tw/course-completeness__q_ee1eaef797.html; raw/ilearn.thu.edu.tw/course-cover.html; raw/ilearn.thu.edu.tw/course-credit-setting.html; raw/ilearn.thu.edu.tw/course-estimate-wrapper.html; raw/ilearn.thu.edu.tw/course-estimates-replies/index.html; raw/ilearn.thu.edu.tw/course-estimates/avatarSmallUrl.html,
