url,status,path,bytes,title,ng_apps,ng_controllers_count,ng_controllers_sample,script_count,link_count,anchor_count,custom_components
https://ilearn.thu.edu.tw,200,raw/ilearn.thu.edu.tw/index.html,106550,iLearn 數位平台,portal,5,CalendarController; CalendarEventController; CalendarTimetableController; HeaderCtrl; ManualListController,61,7,15,notification-container; calendar-color-select; wg-calendar; rwd-portal
https://ilearn.thu.edu.tw/,200,raw/ilearn.thu.edu.tw/index/index.html,106550,iLearn 數位平台,portal,5,CalendarController; CalendarEventController; CalendarTimetableController; HeaderCtrl; ManualListController,61,7,15,notification-container; calendar-color-select; wg-calendar; rwd-portal
https://ilearn.thu.edu.tw/api/activies/classin/join-url,500,raw/ilearn.thu.edu.tw/api/activies/classin/join-url.html,1098,iLearn 數位平台,,0,,0,1,0,
https://ilearn.thu.edu.tw/api/activities,500,raw/ilearn.thu.edu.tw/api/activities.html,1098,iLearn 數位平台,,0,,0,1,0,
https://ilearn.thu.edu.tw/api/activities/is-locked?activity_conditions=,500,raw/ilearn.thu.edu.tw/api/activities/is-locked__q_046929f855.html,1098,iLearn 數位平台,,0,,0,1,0,
https://ilearn.thu.edu.tw/api/activity-resort,500,raw/ilearn.thu.edu.tw/api/activity-resort.html,1098,iLearn 數位平台,,0,,0,1,0,
https://ilearn.thu.edu.tw/api/ai-ppt/usage,500,raw/ilearn.thu.edu.tw/api/ai-ppt/usage.html,1098,iLearn 數位平台,,0,,0,1,0,
https://ilearn.thu.edu.tw/api/ai-ppt/user-usage/export,500,raw/ilearn.thu.edu.tw/api/ai-ppt/user-usage/export.html,1098,iLearn 數位平台,,0,,0,1,0,
https://ilearn.thu.edu.tw/api/air-credit/course/credit-states-stats/export,500,raw/ilearn.thu.edu.tw/api/air-credit/course/credit-states-stats/export.html,1098,iLearn 數位平台,,0,,0,1,0,
https://ilearn.thu.edu.tw/api/air-credit/course/usage-limit,500,raw/ilearn.thu.edu.tw/api/air-credit/course/usage-limit.html,1098,iLearn 數位平台,,0,,0,1,0,
