technology,hits,file_count,files_sample,evidence
AngularJS,5912,385,raw/ilearn.thu.edu.tw/course-advance-setting.html; raw/ilearn.thu.edu.tw/course-audits.html; raw/ilearn.thu.edu.tw/course-catalog-wrapper.html; raw/ilearn.thu.edu.tw/course-classifications.html; raw/ilearn.thu.edu.tw/course-completeness__q_ee1eaef797.html; raw/ilearn.thu.edu.tw/course-cover.html; raw/ilearn.thu.edu.tw/course-credit-setting.html; raw/ilearn.thu.edu.tw/course-estimate-wrapper.html; raw/ilearn.thu.edu.tw/course-estimates-replies/index.html; raw/ilearn.thu.edu.tw/course-estimates/avatarSmallUrl.html; raw/ilearn.thu.edu.tw/course-estimates/index.html; raw/ilearn.thu.edu.tw/course-estimates/lesson_resource_url.html,"[{""source_path"": ""raw/ilearn.thu.edu.tw/index.html"", ""pattern"": ""ng-app"", ""snippet"": ""at_Sheet.md#best-for-now-legacy-browser-frame-breaking-script-->\n</head>\n<body -ng-app=\""portal\"" auto-scroll-to-last-position ng-class=\""'THU'\"" on-modal-state-change ng""}, {""source_path"": ""raw/ilearn.thu.edu.tw/index.html"", ""pattern"": ""ng-controller"", ""snippet"": ""=\""[REDACTED_NAME]\""></root-scope-variable>\n<div class=\""header header-autocollapse wg-header\"" ng-controller=\""HeaderCtrl\""\n     ng-init=\""orgName='iLearn 教學平台'; orgLogoUrl='https://ilearn.th""}, {""source_path"": ""raw/ilearn.thu.edu.tw/index/index.html"", ""pattern"": ""ng-app"", ""snippet"": ""at_Sheet.md#best-for-now-legacy-browser-frame-breaking-script-->\n</head>\n<body -ng-app=\""portal\"" auto-scroll-to-last-position ng-class=\""'THU'\"" on-modal-state-change ng""}, {""source_path"": ""raw/ilearn.thu.edu.tw/index/index.html"", ""pattern"": ""ng-controller"", ""snippet"": ""=\""[REDACTED_NAME]\""></root-scope-variable>\n<div class=\""header header-autocollapse wg-header\"" ng-controller=\""HeaderCtrl\""\n     ng-init=\""orgName='iLearn 教學平台'; orgLogoUrl='https://ilearn.th""}, {""source_path"": ""raw/ilearn.thu.edu.tw/course.html"", ""pattern"": ""ng-app"", ""snippet"": ""ink rel=\""dns-prefetch\"" href=\""https://www.google-analytics.com\"">\n\n</head>\n<body -ng-app=\""common\"" ng-strict-di on-modal-state-change ng-init=\""isInstructorView = false;\n""}, {""source_path"": ""raw/ilearn.thu.edu.tw/course.html"", ""pattern"": ""ng-controller"", ""snippet"": ""essages=\""modal.messages\"" :modal=\""!modal.index\""></vue-alert-messages>\n</div><div ng-controller=\""HeaderWarningController\""\n     ng-init=\""warningVersionExpire='請重新整理瀏覽器。'\"">\n    ""}, {""source_path"": ""raw/ilearn.thu.edu.tw/course-advance-setting.html"", ""pattern"": ""ng-app"", ""snippet"": ""ink rel=\""dns-prefetch\"" href=\""https://www.google-analytics.com\"">\n\n</head>\n<body -ng-app=\""common\"" ng-strict-di on-modal-state-change ng-init=\""isInstructorView = false;\n""}, {""source_path"": ""raw/ilearn.thu.edu.tw/course-advance-setting.html"", ""pattern"": ""ng-controller"", ""snippet"": ""essages=\""modal.messages\"" :modal=\""!modal.index\""></vue-alert-messages>\n</div><div ng-controller=\""HeaderWarningController\""\n     ng-init=\""warningVersionExpire='請重新整理瀏覽器。'\"">\n    ""}]"
Vue,7681,409,raw/ilearn.thu.edu.tw/chatbot/chatbot.umd.js; raw/ilearn.thu.edu.tw/course-advance-setting.html; raw/ilearn.thu.edu.tw/course-audits.html; raw/ilearn.thu.edu.tw/course-catalog-wrapper.html; raw/ilearn.thu.edu.tw/course-classifications.html; raw/ilearn.thu.edu.tw/course-completeness__q_ee1eaef797.html; raw/ilearn.thu.edu.tw/course-cover.html; raw/ilearn.thu.edu.tw/course-credit-setting.html; raw/ilearn.thu.edu.tw/course-estimate-wrapper.html; raw/ilearn.thu.edu.tw/course-estimates-replies/index.html; raw/ilearn.thu.edu.tw/course-estimates/avatarSmallUrl.html; raw/ilearn.thu.edu.tw/course-estimates/index.html,"[{""source_path"": ""raw/ilearn.thu.edu.tw/chatbot/chatbot.umd.js"", ""pattern"": ""\\bVue\\b"", ""snippet"": ""igin-Cy7tRv53.png\"":\""/chatbot/assets/airchat-favicon-origin-Cy7tRv53.png\"";/**\n* @vue/shared v3.5.13\n* (c) 2018-present Yuxi (Evan) You and Vue contributors\n* @licen""}, {""source_path"": ""raw/ilearn.thu.edu.tw/chatbot/chatbot.umd.js"", ""pattern"": ""createApp\\("", ""snippet"": ""n rx||(rx=jz(JO))}const bs=(...e)=>{sx().render(...e)},dB=(...e)=>{const t=sx().createApp(...e),{mount:n}=t;return t.mount=A=>{const a=XO(A);if(!a)return;const i=t._compo""}, {""source_path"": ""raw/ilearn.thu.edu.tw/chatbot/chatbot.umd.js"", ""pattern"": ""__VUE"", ""snippet"": ""=i,p===!0?p=\""svg\"":p===!1&&(p=void 0),u&&t?t(d,l):e(d,l,p),s=!0,c._container=l,l.__vue_app__=c,a0(d.component)}},onUnmount(l){r.push(l)},unmount(){s&&(ao(r,c._instanc""}, {""source_path"": ""raw/ilearn.thu.edu.tw/course.html"", ""pattern"": ""\\bVue\\b"", ""snippet"": ""問題。請升級瀏覽器或使用其他瀏覽器訪問\n    </span>\n</div>\n<![endif]--><div id=\""announcement\"">\n    <vue-announcement v-for=\""i in announcements\"" :announcement=\""i\"" :key=\""i.id\""></vue-ann""}, {""source_path"": ""raw/ilearn.thu.edu.tw/course-advance-setting.html"", ""pattern"": ""\\bVue\\b"", ""snippet"": ""問題。請升級瀏覽器或使用其他瀏覽器訪問\n    </span>\n</div>\n<![endif]--><div id=\""announcement\"">\n    <vue-announcement v-for=\""i in announcements\"" :announcement=\""i\"" :key=\""i.id\""></vue-ann""}, {""source_path"": ""raw/ilearn.thu.edu.tw/course-audits.html"", ""pattern"": ""\\bVue\\b"", ""snippet"": ""問題。請升級瀏覽器或使用其他瀏覽器訪問\n    </span>\n</div>\n<![endif]--><div id=\""announcement\"">\n    <vue-announcement v-for=\""i in announcements\"" :announcement=\""i\"" :key=\""i.id\""></vue-ann""}, {""source_path"": ""raw/ilearn.thu.edu.tw/course-catalog-wrapper.html"", ""pattern"": ""\\bVue\\b"", ""snippet"": ""問題。請升級瀏覽器或使用其他瀏覽器訪問\n    </span>\n</div>\n<![endif]--><div id=\""announcement\"">\n    <vue-announcement v-for=\""i in announcements\"" :announcement=\""i\"" :key=\""i.id\""></vue-ann""}, {""source_path"": ""raw/ilearn.thu.edu.tw/course-classifications.html"", ""pattern"": ""\\bVue\\b"", ""snippet"": ""問題。請升級瀏覽器或使用其他瀏覽器訪問\n    </span>\n</div>\n<![endif]--><div id=\""announcement\"">\n    <vue-announcement v-for=\""i in announcements\"" :announcement=\""i\"" :key=\""i.id\""></vue-ann""}]"
React,3823,682,raw/ilearn.thu.edu.tw/chatbot/chatbot.umd.js; raw/ilearn.thu.edu.tw/static/10035.853f7abc.js; raw/ilearn.thu.edu.tw/static/10067.39ff48db.js; raw/ilearn.thu.edu.tw/static/10188.0cd009aa.js; raw/ilearn.thu.edu.tw/static/10242.1acb04a8.js; raw/ilearn.thu.edu.tw/static/10246-494b2baa.js; raw/ilearn.thu.edu.tw/static/10248.e193e757.js; raw/ilearn.thu.edu.tw/static/10309.2e240c82.js; raw/ilearn.thu.edu.tw/static/10310.1168e67d.js; raw/ilearn.thu.edu.tw/static/10380.988cf572.js; raw/ilearn.thu.edu.tw/static/10383.d04ce83a.js; raw/ilearn.thu.edu.tw/static/10409.3c0dcb73.js,"[{""source_path"": ""raw/ilearn.thu.edu.tw/chatbot/chatbot.umd.js"", ""pattern"": ""createElement"", ""snippet"": ""(function(){\""use strict\"";try{if(typeof document!=\""undefined\""){var r=document.createElement(\""style\"");r.appendChild(document.createTextNode('@charset \""UTF-8\"";.svg-icon[data""}, {""source_path"": ""raw/ilearn.thu.edu.tw/static/10035.853f7abc.js"", ""pattern"": ""createElement"", ""snippet"": ""function(e,t){return{}}});const s=(0,n(514486).A)(o,(function(){var e=this,t=e.$createElement,n=e._self._c||t;return n(\""div\"",{staticClass:\""blueprint-teaching-team-content\""},""}, {""source_path"": ""raw/ilearn.thu.edu.tw/static/10067.39ff48db.js"", ""pattern"": ""__REACT"", ""snippet"": ""is,r=\""function\""==typeof e?e.call(this):e;for(var a in(r=Object.create(r||null)).__reactiveInject__=this.__reactiveInject__||{},t.managed)r[t.managed[a]]=this[a];var o=""}, {""source_path"": ""raw/ilearn.thu.edu.tw/static/10188.0cd009aa.js"", ""pattern"": ""createElement"", ""snippet"": ""0;return!1}let i;function a(t){if(n)return 0;if(t||void 0===i){const t=document.createElement(\""div\"");t.style.width=\""100%\"",t.style.height=\""200px\"";const e=document.createEleme""}, {""source_path"": ""raw/ilearn.thu.edu.tw/static/10188.0cd009aa.js"", ""pattern"": ""__REACT"", ""snippet"": ""is,n=\""function\""==typeof t?t.call(this):t;for(var o in(n=Object.create(n||null)).__reactiveInject__=this.__reactiveInject__||{},e.managed)n[e.managed[o]]=this[o];var i=""}, {""source_path"": ""raw/ilearn.thu.edu.tw/static/10242.1acb04a8.js"", ""pattern"": ""createElement"", ""snippet"": ""e(e,t)},graphic:n.Ay.graphic};const f=(0,r(514486).A)(h,(function(){var e=this.$createElement;return(this._self._c||e)(\""div\"",{staticClass:\""echarts\""})}),[],!1,null,null,null)""}, {""source_path"": ""raw/ilearn.thu.edu.tw/static/10246-494b2baa.js"", ""pattern"": ""createElement"", ""snippet"": "" document,kt=m,Rt=p||f?\""cssFloat\"":\""float\"",Xt=Pt&&!b&&!m&&\""draggable\""in document.createElement(\""div\""),Yt=function(){if(Pt){if(f)return!1;var t=document.createElement(\""x\"");ret""}, {""source_path"": ""raw/ilearn.thu.edu.tw/static/10248.e193e757.js"", ""pattern"": ""createElement"", ""snippet"": ""))}))})),{iframeSrc:g}}});const f=(0,t(514486).A)(d,(function(){var e=this,n=e.$createElement,t=e._self._c||n;return t(\""div\"",[t(\""div\"",{staticClass:\""header\""},[e._v(e._s(e.$t(""}]"
Webpack,2084,877,raw/ilearn.thu.edu.tw/static/10035.853f7abc.js; raw/ilearn.thu.edu.tw/static/10067.39ff48db.js; raw/ilearn.thu.edu.tw/static/10188.0cd009aa.js; raw/ilearn.thu.edu.tw/static/10242.1acb04a8.js; raw/ilearn.thu.edu.tw/static/10246-494b2baa.js; raw/ilearn.thu.edu.tw/static/10248.e193e757.js; raw/ilearn.thu.edu.tw/static/10257.5f75a4b2.js; raw/ilearn.thu.edu.tw/static/10309.2e240c82.js; raw/ilearn.thu.edu.tw/static/10310.1168e67d.js; raw/ilearn.thu.edu.tw/static/10380.988cf572.js; raw/ilearn.thu.edu.tw/static/10383.d04ce83a.js; raw/ilearn.thu.edu.tw/static/10409.3c0dcb73.js,"[{""source_path"": ""raw/ilearn.thu.edu.tw/static/10035.853f7abc.js"", ""pattern"": ""webpackChunk"", ""snippet"": ""(self.webpackChunklms=self.webpackChunklms||[]).push([[10035],{205057:(e,t,n)=>{n.d(t,{$J:()=>s,GB""}, {""source_path"": ""raw/ilearn.thu.edu.tw/static/10067.39ff48db.js"", ""pattern"": ""webpackChunk"", ""snippet"": ""(self.webpackChunklms=self.webpackChunklms||[]).push([[7145,10067,17621,40002,62383,84764],{7950:f""}, {""source_path"": ""raw/ilearn.thu.edu.tw/static/10188.0cd009aa.js"", ""pattern"": ""webpackChunk"", ""snippet"": ""(self.webpackChunklms=self.webpackChunklms||[]).push([[5587,7145,7623,9733,10067,10188,17621,31937""}, {""source_path"": ""raw/ilearn.thu.edu.tw/static/10242.1acb04a8.js"", ""pattern"": ""webpackChunk"", ""snippet"": ""(self.webpackChunklms=self.webpackChunklms||[]).push([[10242],{331635:(e,t,r)=>{r.r(t),r.d(t,{__ad""}, {""source_path"": ""raw/ilearn.thu.edu.tw/static/10246-494b2baa.js"", ""pattern"": ""webpackChunk"", ""snippet"": ""(self.webpackChunklms=self.webpackChunklms||[]).push([[10246],{310246:(t,e,n)=>{n.r(e),n.d(e,{Mult""}, {""source_path"": ""raw/ilearn.thu.edu.tw/static/10248.e193e757.js"", ""pattern"": ""webpackChunk"", ""snippet"": ""(self.webpackChunklms=self.webpackChunklms||[]).push([[10248],{210248:(e,n,t)=>{t.r(n),t.d(n,{defa""}, {""source_path"": ""raw/ilearn.thu.edu.tw/static/10257.5f75a4b2.js"", ""pattern"": ""webpackChunk"", ""snippet"": ""(self.webpackChunklms=self.webpackChunklms||[]).push([[10257],{410257:(t,e,o)=>{o.d(e,{$N:()=>_,CY""}, {""source_path"": ""raw/ilearn.thu.edu.tw/static/10309.2e240c82.js"", ""pattern"": ""webpackChunk"", ""snippet"": ""(self.webpackChunklms=self.webpackChunklms||[]).push([[10309],{209251:a=>{a.exports={props:[\""lang\""""}]"
Sentry,1647,196,raw/ilearn.thu.edu.tw/chatbot/chatbot.umd.js; raw/ilearn.thu.edu.tw/course-advance-setting.html; raw/ilearn.thu.edu.tw/course-audits.html; raw/ilearn.thu.edu.tw/course-catalog-wrapper.html; raw/ilearn.thu.edu.tw/course-classifications.html; raw/ilearn.thu.edu.tw/course-completeness__q_ee1eaef797.html; raw/ilearn.thu.edu.tw/course-cover.html; raw/ilearn.thu.edu.tw/course-credit-setting.html; raw/ilearn.thu.edu.tw/course-estimate-wrapper.html; raw/ilearn.thu.edu.tw/course-estimates-replies/index.html; raw/ilearn.thu.edu.tw/course-estimates/avatarSmallUrl.html; raw/ilearn.thu.edu.tw/course-estimates/index.html,"[{""source_path"": ""raw/ilearn.thu.edu.tw/index.html"", ""pattern"": ""Sentry"", ""snippet"": ""tfix-v1-78-eefefe8e\"" host=\""https://ilearn.thu.edu.tw/\"">\n<head>\n<script>\n    let sentryClientKey = \""\"";\n    let CONFIGS = {};\n    let MULTIMEDIA = {};\n    if (!window?.""}, {""source_path"": ""raw/ilearn.thu.edu.tw/index.html"", ""pattern"": ""sentryClientKey"", ""snippet"": ""tfix-v1-78-eefefe8e\"" host=\""https://ilearn.thu.edu.tw/\"">\n<head>\n<script>\n    let sentryClientKey = \""\"";\n    let CONFIGS = {};\n    let MULTIMEDIA = {};\n    if (!window?.isConfigL""}, {""source_path"": ""raw/ilearn.thu.edu.tw/index/index.html"", ""pattern"": ""Sentry"", ""snippet"": ""tfix-v1-78-eefefe8e\"" host=\""https://ilearn.thu.edu.tw/\"">\n<head>\n<script>\n    let sentryClientKey = \""\"";\n    let CONFIGS = {};\n    let MULTIMEDIA = {};\n    if (!window?.""}, {""source_path"": ""raw/ilearn.thu.edu.tw/index/index.html"", ""pattern"": ""sentryClientKey"", ""snippet"": ""tfix-v1-78-eefefe8e\"" host=\""https://ilearn.thu.edu.tw/\"">\n<head>\n<script>\n    let sentryClientKey = \""\"";\n    let CONFIGS = {};\n    let MULTIMEDIA = {};\n    if (!window?.isConfigL""}, {""source_path"": ""raw/ilearn.thu.edu.tw/chatbot/chatbot.umd.js"", ""pattern"": ""Sentry"", ""snippet"": ""&qme(a,o=>{o.forEach(r=>{A(r,`${i}${a.name}/`)})})};e.forEach(a=>{A(a.webkitGetAsEntry())})},x7=()=>({capture:[Boolean,String],multipart:{type:Boolean,default:void 0}""}, {""source_path"": ""raw/ilearn.thu.edu.tw/course.html"", ""pattern"": ""Sentry"", ""snippet"": ""\"" host=\""https://ilearn.thu.edu.tw/\"" delivery-org=\""THU\"">\n<head>\n<script>\n    let sentryClientKey = \""\"";\n    let CONFIGS = {};\n    let MULTIMEDIA = {};\n    if (!window?.""}, {""source_path"": ""raw/ilearn.thu.edu.tw/course.html"", ""pattern"": ""sentryClientKey"", ""snippet"": ""\"" host=\""https://ilearn.thu.edu.tw/\"" delivery-org=\""THU\"">\n<head>\n<script>\n    let sentryClientKey = \""\"";\n    let CONFIGS = {};\n    let MULTIMEDIA = {};\n    if (!window?.isConfigL""}, {""source_path"": ""raw/ilearn.thu.edu.tw/course-advance-setting.html"", ""pattern"": ""Sentry"", ""snippet"": ""\"" host=\""https://ilearn.thu.edu.tw/\"" delivery-org=\""THU\"">\n<head>\n<script>\n    let sentryClientKey = \""\"";\n    let CONFIGS = {};\n    let MULTIMEDIA = {};\n    if (!window?.""}]"
Google Analytics/Tag Manager,397,193,raw/ilearn.thu.edu.tw/course-advance-setting.html; raw/ilearn.thu.edu.tw/course-audits.html; raw/ilearn.thu.edu.tw/course-catalog-wrapper.html; raw/ilearn.thu.edu.tw/course-classifications.html; raw/ilearn.thu.edu.tw/course-completeness__q_ee1eaef797.html; raw/ilearn.thu.edu.tw/course-cover.html; raw/ilearn.thu.edu.tw/course-credit-setting.html; raw/ilearn.thu.edu.tw/course-estimate-wrapper.html; raw/ilearn.thu.edu.tw/course-estimates-replies/index.html; raw/ilearn.thu.edu.tw/course-estimates/avatarSmallUrl.html; raw/ilearn.thu.edu.tw/course-estimates/index.html; raw/ilearn.thu.edu.tw/course-estimates/lesson_resource_url.html,"[{""source_path"": ""raw/ilearn.thu.edu.tw/index.html"", ""pattern"": ""googletagmanager"", ""snippet"": "" site tag (gtag.js) - Google Analytics 4 -->\n    <script async src=\""https://www.googletagmanager.com/gtag/js\""></script>\n<!--https://github.com/OWASP/CheatSheetSeries/blob/maste""}, {""source_path"": ""raw/ilearn.thu.edu.tw/index.html"", ""pattern"": ""Google Analytics"", ""snippet"": ""c/assets/images/2fbd245df00af22ed3a1.ico\"">\n    <!-- Global site tag (gtag.js) - Google Analytics 4 -->\n    <script async src=\""https://www.googletagmanager.com/gtag/js\""></script""}, {""source_path"": ""raw/ilearn.thu.edu.tw/index/index.html"", ""pattern"": ""googletagmanager"", ""snippet"": "" site tag (gtag.js) - Google Analytics 4 -->\n    <script async src=\""https://www.googletagmanager.com/gtag/js\""></script>\n<!--https://github.com/OWASP/CheatSheetSeries/blob/maste""}, {""source_path"": ""raw/ilearn.thu.edu.tw/index/index.html"", ""pattern"": ""Google Analytics"", ""snippet"": ""c/assets/images/2fbd245df00af22ed3a1.ico\"">\n    <!-- Global site tag (gtag.js) - Google Analytics 4 -->\n    <script async src=\""https://www.googletagmanager.com/gtag/js\""></script""}, {""source_path"": ""raw/ilearn.thu.edu.tw/course.html"", ""pattern"": ""googletagmanager"", ""snippet"": "" site tag (gtag.js) - Google Analytics 4 -->\n    <script async src=\""https://www.googletagmanager.com/gtag/js\""></script>\n<!--https://github.com/OWASP/CheatSheetSeries/blob/maste""}, {""source_path"": ""raw/ilearn.thu.edu.tw/course.html"", ""pattern"": ""Google Analytics"", ""snippet"": ""c/assets/images/2fbd245df00af22ed3a1.ico\"">\n    <!-- Global site tag (gtag.js) - Google Analytics 4 -->\n    <script async src=\""https://www.googletagmanager.com/gtag/js\""></script""}, {""source_path"": ""raw/ilearn.thu.edu.tw/course-advance-setting.html"", ""pattern"": ""googletagmanager"", ""snippet"": "" site tag (gtag.js) - Google Analytics 4 -->\n    <script async src=\""https://www.googletagmanager.com/gtag/js\""></script>\n<!--https://github.com/OWASP/CheatSheetSeries/blob/maste""}, {""source_path"": ""raw/ilearn.thu.edu.tw/course-advance-setting.html"", ""pattern"": ""Google Analytics"", ""snippet"": ""c/assets/images/2fbd245df00af22ed3a1.ico\"">\n    <!-- Global site tag (gtag.js) - Google Analytics 4 -->\n    <script async src=\""https://www.googletagmanager.com/gtag/js\""></script""}]"
MathJax,12375,196,raw/ilearn.thu.edu.tw/course-advance-setting.html; raw/ilearn.thu.edu.tw/course-audits.html; raw/ilearn.thu.edu.tw/course-catalog-wrapper.html; raw/ilearn.thu.edu.tw/course-classifications.html; raw/ilearn.thu.edu.tw/course-completeness__q_ee1eaef797.html; raw/ilearn.thu.edu.tw/course-cover.html; raw/ilearn.thu.edu.tw/course-credit-setting.html; raw/ilearn.thu.edu.tw/course-estimate-wrapper.html; raw/ilearn.thu.edu.tw/course-estimates-replies/index.html; raw/ilearn.thu.edu.tw/course-estimates/avatarSmallUrl.html; raw/ilearn.thu.edu.tw/course-estimates/index.html; raw/ilearn.thu.edu.tw/course-estimates/lesson_resource_url.html,"[{""source_path"": ""raw/ilearn.thu.edu.tw/course.html"", ""pattern"": ""MathJax"", ""snippet"": "" weekDayIso={1: '一',2: '二',3: '三',4: '四',5: '五',6: '六', 7: '日'};\""\n      class=' mathjax-ignore'>\n\n<div class=\""__pageLoading\"">\n    <span class=\""__loader\""></span>\n</div>""}, {""source_path"": ""raw/ilearn.thu.edu.tw/course-advance-setting.html"", ""pattern"": ""MathJax"", ""snippet"": "" weekDayIso={1: '一',2: '二',3: '三',4: '四',5: '五',6: '六', 7: '日'};\""\n      class=' mathjax-ignore'>\n\n<div class=\""__pageLoading\"">\n    <span class=\""__loader\""></span>\n</div>""}, {""source_path"": ""raw/ilearn.thu.edu.tw/course-audits.html"", ""pattern"": ""MathJax"", ""snippet"": "" weekDayIso={1: '一',2: '二',3: '三',4: '四',5: '五',6: '六', 7: '日'};\""\n      class=' mathjax-ignore'>\n\n<div class=\""__pageLoading\"">\n    <span class=\""__loader\""></span>\n</div>""}, {""source_path"": ""raw/ilearn.thu.edu.tw/course-catalog-wrapper.html"", ""pattern"": ""MathJax"", ""snippet"": "" weekDayIso={1: '一',2: '二',3: '三',4: '四',5: '五',6: '六', 7: '日'};\""\n      class=' mathjax-ignore'>\n\n<div class=\""__pageLoading\"">\n    <span class=\""__loader\""></span>\n</div>""}, {""source_path"": ""raw/ilearn.thu.edu.tw/course-classifications.html"", ""pattern"": ""MathJax"", ""snippet"": "" weekDayIso={1: '一',2: '二',3: '三',4: '四',5: '五',6: '六', 7: '日'};\""\n      class=' mathjax-ignore'>\n\n<div class=\""__pageLoading\"">\n    <span class=\""__loader\""></span>\n</div>""}, {""source_path"": ""raw/ilearn.thu.edu.tw/course-completeness__q_ee1eaef797.html"", ""pattern"": ""MathJax"", ""snippet"": "" weekDayIso={1: '一',2: '二',3: '三',4: '四',5: '五',6: '六', 7: '日'};\""\n      class=' mathjax-ignore'>\n\n<div class=\""__pageLoading\"">\n    <span class=\""__loader\""></span>\n</div>""}, {""source_path"": ""raw/ilearn.thu.edu.tw/course-cover.html"", ""pattern"": ""MathJax"", ""snippet"": "" weekDayIso={1: '一',2: '二',3: '三',4: '四',5: '五',6: '六', 7: '日'};\""\n      class=' mathjax-ignore'>\n\n<div class=\""__pageLoading\"">\n    <span class=\""__loader\""></span>\n</div>""}, {""source_path"": ""raw/ilearn.thu.edu.tw/course-credit-setting.html"", ""pattern"": ""MathJax"", ""snippet"": "" weekDayIso={1: '一',2: '二',3: '三',4: '四',5: '五',6: '六', 7: '日'};\""\n      class=' mathjax-ignore'>\n\n<div class=\""__pageLoading\"">\n    <span class=\""__loader\""></span>\n</div>""}]"
Ace Editor,300,5,raw/ilearn.thu.edu.tw/chatbot/chatbot.umd.js; raw/ilearn.thu.edu.tw/static/14572-b07cd6d5.js; raw/ilearn.thu.edu.tw/static/56834-67be8618.js; raw/ilearn.thu.edu.tw/static/72914-965f4ad4.js; raw/ilearn.thu.edu.tw/static/79278-2435c454.js,"[{""source_path"": ""raw/ilearn.thu.edu.tw/chatbot/chatbot.umd.js"", ""pattern"": ""ace/"", ""snippet"": ""ADL1wAA+9cAABAAAAAe+wAAHvsAAAQAAAAA/gAAD/4AAAQAAAAg/gAAL/4AAAQAAAD//gAA//4AAAMAAACe/wAAn/8AAAQAAADw/wAA+/8AAAMAAAD9AQEA/QEBAAQAAADgAgEA4AIBAAQAAAB2AwEAegMBAAQAAAABC""}, {""source_path"": ""raw/ilearn.thu.edu.tw/static/14572-b07cd6d5.js"", ""pattern"": ""ace/"", ""snippet"": ""(n.original=s.require,s.require=n,s.require.packaged=!0)}(\""ace\"")}(),ace.define(\""ace/lib/fixoldbrowsers\"",[\""require\"",\""exports\"",\""module\""],(function(e,t,i){\""undefined\""!""}, {""source_path"": ""raw/ilearn.thu.edu.tw/static/14572-b07cd6d5.js"", ""pattern"": ""ace\\.edit"", ""snippet"": ""\""string\""==typeof e){var n=e;if(!(e=document.getElementById(n)))throw new Error(\""ace.edit can't find div #\""+n)}if(e&&e.env&&e.env.editor instanceof a)return e.env.editor""}, {""source_path"": ""raw/ilearn.thu.edu.tw/static/56834-67be8618.js"", ""pattern"": ""ace/"", ""snippet"": ""=0||(e.editor=ace.edit(e.uuid,{maxLines:25,wrap:!0,highlightActiveLine:!1,mode:\""ace/mode/\"".concat(e.lang.replace(\""lang-\"",\""\"")),useWorker:!1}),e.editor.setReadOnly(!0""}, {""source_path"": ""raw/ilearn.thu.edu.tw/static/56834-67be8618.js"", ""pattern"": ""ace\\.edit"", ""snippet"": ""))].join(\""_\""),setTimeout((function(){$(\""#\"".concat(e.uuid)).length<=0||(e.editor=ace.edit(e.uuid,{maxLines:25,wrap:!0,highlightActiveLine:!1,mode:\""ace/mode/\"".concat(e.la""}, {""source_path"": ""raw/ilearn.thu.edu.tw/static/72914-965f4ad4.js"", ""pattern"": ""ace/"", ""snippet"": ""ndation(\""reveal\"",\""close\"")}))},t.changeMode=function(){t.editor.session.setMode(\""ace/mode/\"".concat(t.mode))},t.editor=n.edit(\""editor\""),t.modes=[\""javascript\"",\""python\""""}, {""source_path"": ""raw/ilearn.thu.edu.tw/static/79278-2435c454.js"", ""pattern"": ""ace/"", ""snippet"": ""0T4I/wDJWNI/3Zv/AEU1ed16H8Ef+SsaR/uzf+imoA+vKKKKAPnj9pX/AJCfh3/rjP8AzSvCDXu/7Sv/ACE/Dv8A1xn/AJpXhBoAKO9FHegDvfgx/wAlY0P/AHpf/RT19g18ffBj/krGif70v/op6+waACiiigAoorlv""}]"
